Crude Oil Refiner Acquisition costs (Dollars per Barrel)

Date Domestic Imported Composite    
--------------------------------
940101 12.55 12.81 12.69
940201 13.18 12.91 13.04
940301 13.09 13.15 13.12
940401 14.66 14.46 14.55
940501 15.57 15.65 15.61
940601 17.23 17.08 17.15
940701 17.51 17.93 17.73
940801 17.06 17.08 17.07
940901 16.32 15.89 16.09
941001 16.21 16.40 16.30
941101 16.49 16.54 16.51
941201 16.10 15.76 15.95
950101 16.37 16.62 16.49
950201 16.98 17.25 17.11
950301 17.21 17.24 17.23
950401 18.08 18.84 18.43
950501 18.57 18.49 18.53
950601 17.84 17.40 17.62
950701 16.78 16.45 16.62
950801 16.89 16.54 16.72
950901 16.96 16.73 16.85
951001 16.72 16.34 16.53
951101 16.61 16.53 16.57
951201 17.31 17.61 17.46
960101 17.85 17.55 17.70
960201 18.04 17.70 17.88
960301 19.49 19.81 19.64
960401 21.77 21.05 21.44
960501 21.09 20.00 20.51
960601 18.93 18.83 18.87
